id,nom,ville,arrondissement,quartier,type_batiment,latitude,longitude,telephone,nb_urnes,accessibilite_pmr,inscrits_2017,votants_2017,bulletins_nuls_2017,SVE_2017,taux_participation_2017,RDPC_votes_2017,CDP_votes_2017,EPG_votes_2017,SAJ_votes_2017,ESA_votes_2017,autres_votes_2017,inscrits_2018,votants_2018,bulletins_nuls_2018,SVE_2018,taux_participation_2018,RDPC_votes_2018,CDP_votes_2018,EPG_votes_2018,SAJ_votes_2018,ESA_votes_2018,autres_votes_2018,inscrits_2019,votants_2019,bulletins_nuls_2019,SVE_2019,taux_participation_2019,RDPC_votes_2019,CDP_votes_2019,EPG_votes_2019,SAJ_votes_2019,ESA_votes_2019,autres_votes_2019
BV-YAO-0011,Centre social de Nkol-Eton — Bureau 5,Yaoundé,Yaoundé I,Nkol-Eton,Centre social,3.817408,11.435737,+237 690 597 697,2,Oui,907,664,12,652,0.733,489,5,37,26,46,49,907,337,14,323,0.372,241,17,10,11,19,25,907,460,14,446,0.507,314,29,6,7,50,40
BV-YAO-0012,Centre de Vote de Mvog-Ada — Salle 5,Yaoundé,Yaoundé II,Mvog-Ada,Centre culturel,3.906712,11.458071,+237 678 438 310,1,Non,513,282,9,273,0.551,168,26,25,9,13,32,513,271,13,258,0.53,208,11,4,7,13,15,513,131,2,129,0.257,101,5,4,6,4,9
BV-YAO-0013,Bureau de Vote Mvog-Atangana N°1,Yaoundé,Yaoundé II,Mvog-Atangana,École primaire,3.809922,11.487383,+237 679 812 833,2,Non,750,393,7,386,0.524,256,17,23,18,33,39,750,354,9,345,0.473,165,24,13,61,28,54,750,452,13,439,0.603,303,37,14,15,29,41
BV-YAO-0014,Centre de Vote de Ahala — Salle 3,Yaoundé,Yaoundé V,Ahala,École primaire,3.876953,11.551896,+237 691 356 051,3,Non,479,171,3,168,0.358,85,11,7,27,13,25,479,325,12,313,0.679,246,8,11,15,13,20,479,271,6,265,0.568,147,25,16,26,15,36
BV-YAO-0015,Centre de Vote de Nkolbisson — Salle 5,Yaoundé,Yaoundé VII,Nkolbisson,Centre communautaire,3.794359,11.527132,+237 695 834 169,1,Non,852,432,9,423,0.508,312,27,26,10,14,34,852,343,15,328,0.403,240,10,17,17,17,27,852,484,23,461,0.568,242,56,41,29,27,66
BV-YAO-0016,Mairie Elig-Essono,Yaoundé,Yaoundé II,Elig-Essono,Mairie,3.950125,11.531282,+237 243 128 282,1,Oui,178,93,2,91,0.527,71,1,2,6,5,6,178,74,1,73,0.417,37,4,9,8,4,11,178,107,3,104,0.603,73,6,2,5,8,10
BV-YAO-0017,Bureau de Vote Mvog-Ada 17,Yaoundé,Yaoundé III,Mvog-Ada,Salle polyvalente,3.883546,11.440179,+237 695 201 631,2,Non,410,144,3,141,0.353,73,6,17,22,2,21,410,262,4,258,0.64,138,20,15,39,10,36,410,239,4,235,0.585,186,8,3,5,18,15
BV-YAO-0018,Bureau de Vote Nkolo N°12,Yaoundé,Yaoundé I,Nkolo,Collège,3.769997,11.441354,+237 692 307 897,1,Non,703,517,14,503,0.736,251,43,41,14,78,76,703,308,12,296,0.438,181,33,16,28,4,34,703,391,16,375,0.558,202,18,27,31,45,52
BV-YAO-0019,Centre de Vote de Kondengui — Salle 1,Yaoundé,Yaoundé IV,Kondengui,Centre culturel,3.908798,11.513997,+237 242 457 284,4,Non,985,714,7,707,0.725,387,60,68,47,49,96,985,537,23,514,0.545,393,28,8,35,13,37,985,337,6,331,0.343,170,10,48,23,32,48
BV-YAO-0020,Bureau de Vote Yaoundé V — Nkoldongo 20,Yaoundé,Yaoundé V,Nkoldongo,Centre culturel,3.869951,11.598285,+237 233 596 802,1,Non,1122,839,23,816,0.748,471,110,41,79,11,104,1122,515,14,501,0.459,291,44,34,40,29,63,1122,473,13,460,0.422,316,8,61,10,21,44
BV-YAO-0021,Centre de Vote de Olembe — Salle 5,Yaoundé,Yaoundé V,Olembe,Centre culturel,3.869553,11.492364,+237 243 436 786,2,Non,607,392,16,376,0.646,289,9,11,14,27,26,607,352,14,338,0.581,223,35,32,7,6,35,607,222,6,216,0.366,160,16,6,11,6,17
BV-YAO-0022,Centre de Vote de Mfandena — Salle 1,Yaoundé,Yaoundé VII,Mfandena,Centre social,3.878096,11.560461,+237 242 463 249,3,Non,1045,454,16,438,0.435,202,44,57,11,53,71,1045,441,8,433,0.422,318,37,6,19,18,35,1045,363,8,355,0.347,166,13,24,9,86,57
BV-YAO-0023,Bureau de Vote Elig-Essono N°8,Yaoundé,Yaoundé I,Elig-Essono,Salle polyvalente,3.760516,11.557992,+237 678 507 409,1,Non,547,403,16,387,0.738,262,22,28,14,23,38,547,283,11,272,0.519,188,9,4,25,20,26,547,272,10,262,0.498,122,28,15,28,27,42
BV-YAO-0024,Bureau de Vote Bastos N°6,Yaoundé,Yaoundé VI,Bastos,Mairie,3.819445,11.530998,+237 693 259 113,1,Non,958,696,20,676,0.727,328,78,84,74,7,105,958,475,14,461,0.496,361,14,17,35,4,30,958,365,11,354,0.382,284,15,12,14,8,21
BV-YAO-0025,Bureau de Vote Yaoundé IV — Elig-Essono 25,Yaoundé,Yaoundé IV,Elig-Essono,Salle polyvalente,3.856023,11.503844,+237 233 615 926,4,Oui,1150,762,8,754,0.663,572,23,30,52,22,55,1150,679,32,647,0.591,497,15,29,46,15,45,1150,348,12,336,0.303,197,12,28,36,21,42
BV-YAO-0026,Bureau de Vote Yaoundé VI — Nkol-Eton 26,Yaoundé,Yaoundé VI,Nkol-Eton,Centre communautaire,3.765168,11.450295,+237 691 324 997,4,Oui,259,124,3,121,0.481,72,8,11,1,14,15,259,92,3,89,0.355,70,4,2,5,2,6,259,115,5,110,0.448,85,5,1,8,3,8
BV-YAO-0027,Mairie Messa,Yaoundé,Yaoundé VII,Messa,Mairie,3.87503,11.49174,+237 691 002 406,2,Non,219,135,4,131,0.62,65,12,19,8,7,20,219,126,4,122,0.575,99,3,7,3,3,7,219,86,3,83,0.395,67,1,2,1,7,5
BV-YAO-0028,Centre de Vote de Mvog-Beti — Salle 4,Yaoundé,Yaoundé VI,Mvog-Beti,Lycée,3.760066,11.445027,+237 678 449 780,3,Non,996,610,15,595,0.613,286,104,24,20,68,93,996,411,7,404,0.413,231,64,22,7,28,52,996,430,10,420,0.432,334,14,25,10,11,26
BV-YAO-0029,Bureau de Vote Mvog-Ada 29,Yaoundé,Yaoundé I,Mvog-Ada,Collège,3.946737,11.478529,+237 691 447 604,1,Non,459,182,3,179,0.397,124,5,24,4,5,17,459,250,10,240,0.545,168,15,14,20,1,22,459,212,3,209,0.463,98,25,14,16,23,33
BV-YAO-0030,Bureau de Vote Yaoundé VII — Biyem-Assi 30,Yaoundé,Yaoundé VII,Biyem-Assi,Collège,3.882131,11.42462,+237 692 632 638,3,Non,178,114,4,110,0.645,78,2,8,11,1,10,178,96,2,94,0.544,75,4,5,1,3,6,178,107,1,106,0.606,69,3,7,4,11,12
BV-YAO-0031,Collège Djoungolo,Yaoundé,Yaoundé V,Djoungolo,Collège,3.794823,11.45949,+237 691 857 369,3,Non,539,369,8,361,0.686,210,37,34,30,5,45,539,331,9,322,0.616,168,36,20,20,32,46,539,318,15,303,0.591,240,10,13,19,2,19
BV-YAO-0032,Bibliothèque municipale de Madagascar — Bureau 7,Yaoundé,Yaoundé III,Madagascar,Bibliothèque municipale,3.915403,11.564018,+237 695 183 366,4,Non,1191,567,9,558,0.477,327,28,72,20,41,70,1191,821,14,807,0.69,562,65,35,26,45,74,1191,406,15,391,0.341,309,6,30,19,2,25
BV-YAO-0033,Bureau de Vote Yaoundé II — Olembe 33,Yaoundé,Yaoundé II,Olembe,Lycée,3.810528,11.586712,+237 679 600 556,3,Non,1029,646,27,619,0.628,300,79,55,52,37,96,1029,450,15,435,0.438,224,67,18,23,40,63,1029,464,7,457,0.452,350,23,26,3,23,32
BV-YAO-0034,Centre de Vote de Mvan — Salle 5,Yaoundé,Yaoundé I,Mvan,Centre culturel,3.834487,11.462057,+237 677 036 557,3,Non,772,470,7,463,0.61,283,25,23,43,35,54,772,284,9,275,0.369,160,6,28,21,25,35,772,420,17,403,0.544,224,55,8,44,18,54
BV-YAO-0035,Collège Nsam,Yaoundé,Yaoundé II,Nsam,Collège,3.789278,11.557552,+237 695 747 224,4,Oui,531,226,5,221,0.427,147,12,12,15,13,22,531,194,4,190,0.367,129,13,14,14,2,18,531,291,8,283,0.549,195,17,16,4,24,27
BV-YAO-0036,Bureau de Vote Nkol-Eton N°14,Yaoundé,Yaoundé V,Nkol-Eton,Lycée,3.865104,11.489342,+237 243 329 470,3,Non,1060,613,15,598,0.579,313,25,60,56,58,86,1060,685,9,676,0.647,321,44,112,35,57,107,1060,581,26,555,0.548,326,13,48,81,18,69
BV-YAO-0037,Bureau de Vote Yaoundé V — Nkoldongo 37,Yaoundé,Yaoundé V,Nkoldongo,Collège,3.904398,11.510517,+237 243 397 423,2,Oui,1106,412,14,398,0.373,295,9,16,22,25,31,1106,346,10,336,0.314,184,39,38,11,18,46,1106,381,18,363,0.345,187,21,52,8,42,53
BV-YAO-0038,Bureau de Vote Yaoundé VII — Ngousso 38,Yaoundé,Yaoundé VII,Ngousso,Centre social,3.817747,11.485281,+237 233 151 156,1,Oui,376,254,7,247,0.677,166,15,6,13,22,25,376,249,11,238,0.663,116,8,49,4,24,37,376,229,6,223,0.61,160,8,13,11,12,19
BV-YAO-0039,Centre de Vote de Mfandena — Salle 5,Yaoundé,Yaoundé II,Mfandena,Centre culturel,3.865452,11.448773,+237 690 761 570,1,Non,1122,435,6,429,0.389,217,14,54,49,31,64,1122,585,6,579,0.522,376,28,28,29,57,61,1122,535,15,520,0.477,388,41,8,31,12,40
BV-YAO-0040,Bureau de Vote Briqueterie 40,Yaoundé,Yaoundé V,Briqueterie,Lycée,3.865006,11.586958,+237 242 492 712,4,Non,417,173,5,168,0.416,94,6,17,10,19,22,417,161,6,155,0.388,119,11,4,5,5,11,417,258,7,251,0.621,150,15,26,26,3,31
BV-YAO-0041,Centre de Vote de Santa Barbara — Salle 3,Yaoundé,Yaoundé I,Santa Barbara,Salle polyvalente,3.890794,11.490253,+237 222 708 113,2,Non,270,190,8,182,0.705,123,12,15,4,10,18,270,174,7,167,0.646,121,6,1,16,9,14,270,148,4,144,0.552,75,13,4,24,7,21
BV-YAO-0042,Centre de Vote de Nkomo — Salle 3,Yaoundé,Yaoundé I,Nkomo,Mairie,3.831925,11.452163,+237 242 775 669,2,Oui,227,151,1,150,0.668,71,13,17,8,17,24,227,96,1,95,0.427,53,9,3,4,13,13,227,126,4,122,0.559,76,8,9,7,8,14
BV-YAO-0043,Bibliothèque municipale Briqueterie,Yaoundé,Yaoundé IV,Briqueterie,Bibliothèque municipale,3.940431,11.492163,+237 678 204 099,1,Non,1031,771,28,743,0.748,489,11,72,45,50,76,1031,406,7,399,0.394,254,30,17,12,42,44,1031,261,8,253,0.253,180,16,2,16,17,22
BV-YAO-0044,Centre culturel Mvog-Atangana,Yaoundé,Yaoundé IV,Mvog-Atangana,Centre culturel,3.937295,11.550808,+237 691 661 138,2,Non,457,254,11,243,0.556,120,14,24,4,44,37,457,185,3,182,0.406,112,17,17,9,6,21,457,258,10,248,0.566,191,7,17,10,6,17
BV-YAO-0045,Bureau de Vote Yaoundé IV — Melen 45,Yaoundé,Yaoundé IV,Melen,Mairie,3.863092,11.409774,+237 242 885 893,2,Non,352,159,5,154,0.454,85,11,17,19,1,21,352,237,9,228,0.676,171,15,3,8,14,17,352,128,1,127,0.366,84,12,9,3,6,13
BV-YAO-0046,Bureau de Vote Briqueterie N°16,Yaoundé,Yaoundé V,Briqueterie,Salle polyvalente,3.901464,11.536062,+237 243 963 502,2,Oui,319,170,3,167,0.533,133,5,10,8,1,10,319,133,1,132,0.418,94,4,12,2,8,12,319,173,6,167,0.544,120,15,5,11,1,15
BV-YAO-0047,Centre culturel de Nkolbisson — Bureau 1,Yaoundé,Yaoundé VI,Nkolbisson,Centre culturel,3.808522,11.444698,+237 693 261 286,2,Non,228,136,1,135,0.599,110,3,7,2,5,8,228,128,5,123,0.563,72,5,2,14,14,16,228,102,2,100,0.452,68,5,2,6,9,10
BV-YAO-0048,Centre de Vote de Oyomabang — Salle 5,Yaoundé,Yaoundé VII,Oyomabang,Salle polyvalente,3.917804,11.536358,+237 691 586 484,4,Non,254,135,4,131,0.533,95,10,6,4,5,11,254,96,4,92,0.382,58,5,5,10,3,11,254,156,2,154,0.617,107,7,4,12,10,14
BV-YAO-0049,Collège Simbock,Yaoundé,Yaoundé VI,Simbock,Collège,3.921337,11.436843,+237 243 863 096,4,Non,1055,373,9,364,0.354,242,39,5,11,30,37,1055,409,16,393,0.388,224,44,23,27,24,51,1055,344,6,338,0.326,161,29,61,26,8,53
BV-YAO-0050,Bureau de Vote Yaoundé III — Nkozoa 50,Yaoundé,Yaoundé III,Nkozoa,Centre social,3.842556,11.571802,+237 222 115 411,2,Oui,1152,787,12,775,0.684,619,35,44,23,7,47,1152,413,16,397,0.359,265,4,42,17,29,40,1152,429,18,411,0.373,243,44,4,22,47,51
BV-YAO-0051,Bureau de Vote Ngousso N°7,Yaoundé,Yaoundé VII,Ngousso,Centre culturel,3.90663,11.461941,+237 693 666 680,2,Non,1061,589,16,573,0.556,334,61,22,38,46,72,1061,355,16,339,0.335,265,14,11,9,17,23,1061,602,11,591,0.567,338,31,46,60,40,76
BV-YAO-0052,Salle polyvalente Simbock,Yaoundé,Yaoundé III,Simbock,Salle polyvalente,3.815952,11.488732,+237 693 490 023,3,Oui,977,506,21,485,0.519,389,12,15,27,13,29,977,377,14,363,0.387,238,15,23,21,28,38,977,582,18,564,0.596,433,16,10,34,32,39
BV-YAO-0053,Centre de Vote de Étoa-Meki — Salle 1,Yaoundé,Yaoundé IV,Étoa-Meki,Centre culturel,3.740933,11.518477,+237 678 863 161,4,Oui,714,401,6,395,0.563,312,25,22,4,7,25,714,432,11,421,0.605,319,2,25,27,17,31,714,189,3,186,0.265,116,16,16,7,10,21
BV-YAO-0054,Bureau de Vote Yaoundé VII — Simbock 54,Yaoundé,Yaoundé VII,Simbock,École primaire,3.882785,11.422567,+237 692 826 365,1,Non,851,544,22,522,0.64,387,32,25,10,27,41,851,263,8,255,0.309,178,19,8,18,9,23,851,481,22,459,0.565,274,16,18,52,43,56
BV-YAO-0055,Bureau de Vote Madagascar N°5,Yaoundé,Yaoundé III,Madagascar,Collège,3.947849,11.457192,+237 678 573 736,3,Oui,973,403,19,384,0.415,259,18,18,12,39,38,973,520,16,504,0.535,388,26,12,25,18,35,973,399,13,386,0.411,221,12,40,31,32,50
BV-YAO-0056,Centre social Madagascar,Yaoundé,Yaoundé VII,Madagascar,Centre social,3.775855,11.553145,+237 677 266 645,3,Oui,389,288,12,276,0.741,203,21,19,6,5,22,389,210,2,208,0.541,162,6,11,5,10,14,389,127,1,126,0.329,97,2,5,7,6,9
BV-YAO-0057,Bureau de Vote Yaoundé V — Étoa-Meki 57,Yaoundé,Yaoundé V,Étoa-Meki,Centre culturel,3.797784,11.469459,+237 690 875 925,1,Oui,1165,739,8,731,0.635,344,44,87,60,80,116,1165,466,14,452,0.401,259,20,30,51,34,58,1165,411,8,403,0.353,277,9,26,9,44,38
BV-YAO-0058,Bureau de Vote Ngousso N°14,Yaoundé,Yaoundé V,Ngousso,Salle polyvalente,3.862755,11.430902,+237 678 947 825,2,Oui,224,135,6,129,0.604,82,5,14,6,8,14,224,72,3,69,0.322,37,3,9,2,8,10,224,141,5,136,0.631,87,9,15,8,2,15
BV-YAO-0059,Centre social de Odza — Bureau 8,Yaoundé,Yaoundé V,Odza,Centre social,3.812179,11.405304,+237 677 519 471,4,Non,770,563,12,551,0.731,366,33,37,51,8,56,770,242,7,235,0.315,182,11,5,9,12,16,770,315,15,300,0.409,180,5,31,30,18,36
BV-YAO-0060,Bureau de Vote Yaoundé IV — Omnisports 60,Yaoundé,Yaoundé IV,Omnisports,Lycée,3.889182,11.575639,+237 679 057 055,3,Non,1126,565,12,553,0.502,267,34,39,33,94,86,1126,727,28,699,0.646,337,49,75,59,70,109,1126,632,15,617,0.562,423,5,55,36,40,58
BV-YAO-0061,Bureau de Vote Yaoundé I — Biteng 61,Yaoundé,Yaoundé I,Biteng,Bibliothèque municipale,3.883277,11.530699,+237 242 098 887,2,Non,1126,838,35,803,0.744,521,40,84,13,60,85,1126,596,22,574,0.53,351,58,54,32,12,67,1126,597,20,577,0.531,391,16,42,36,36,56
BV-YAO-0062,Bureau de Vote Nkolbikok N°9,Yaoundé,Yaoundé I,Nkolbikok,Bibliothèque municipale,3.871059,11.566072,+237 691 065 335,3,Oui,240,116,2,114,0.485,87,4,2,7,6,8,240,72,1,71,0.301,45,6,8,3,1,8,240,70,2,68,0.295,56,3,1,3,1,4
BV-YAO-0063,Mairie de Messa — Bureau 3,Yaoundé,Yaoundé I,Messa,Mairie,3.877134,11.502921,+237 243 944 256,2,Non,449,274,11,263,0.611,129,45,8,28,12,41,449,145,3,142,0.325,79,9,12,20,3,19,449,159,2,157,0.355,73,11,15,19,14,25
BV-YAO-0064,Centre culturel de Mvog-Atangana — Bureau 6,Yaoundé,Yaoundé VII,Mvog-Atangana,Centre culturel,3.856195,11.476632,+237 695 306 420,2,Non,597,311,4,307,0.521,162,48,8,42,3,44,597,185,8,177,0.311,133,8,6,6,11,13,597,363,12,351,0.608,169,45,5,56,21,55
BV-YAO-0065,Mairie de Nkolbikok — Bureau 5,Yaoundé,Yaoundé IV,Nkolbikok,Mairie,3.851712,11.593497,+237 678 313 767,1,Non,917,485,12,473,0.529,357,11,14,27,29,35,917,531,17,514,0.58,362,5,49,40,12,46,917,249,5,244,0.272,186,18,4,12,6,18
BV-YAO-0066,Centre communautaire de Melen — Bureau 2,Yaoundé,Yaoundé IV,Melen,Centre communautaire,3.808986,11.48485,+237 695 902 674,1,Non,819,605,16,589,0.739,320,99,22,14,53,81,819,358,10,348,0.438,273,6,28,11,7,23,819,264,2,262,0.323,156,4,22,23,25,32
BV-YAO-0067,Salle polyvalente de Mvog-Atangana — Bureau 2,Yaoundé,Yaoundé V,Mvog-Atangana,Salle polyvalente,3.822245,11.5948,+237 690 455 402,1,Non,965,578,10,568,0.6,366,85,42,6,8,61,965,412,16,396,0.427,227,51,26,36,5,51,965,524,20,504,0.544,365,20,18,54,5,42
BV-YAO-0068,Centre social Nsam,Yaoundé,Yaoundé III,Nsam,Centre social,3.826604,11.399397,+237 243 825 168,3,Oui,797,423,4,419,0.532,292,22,5,26,36,38,797,246,7,239,0.31,116,11,28,16,31,37,797,494,17,477,0.62,288,37,26,9,60,57
BV-YAO-0069,Bureau de Vote Ahala N°5,Yaoundé,Yaoundé IV,Ahala,Centre communautaire,3.884271,11.531647,+237 695 275 183,2,Oui,958,407,14,393,0.426,233,13,10,73,16,48,958,473,13,460,0.494,258,29,9,67,36,61,958,269,8,261,0.281,165,6,11,38,12,29
BV-YAO-0070,Centre culturel Nkoldongo,Yaoundé,Yaoundé VI,Nkoldongo,Centre culturel,3.756696,11.473648,+237 693 543 241,2,Non,232,171,3,168,0.741,82,20,4,25,11,26,232,108,5,103,0.468,57,7,5,16,4,14,232,148,6,142,0.64,110,4,2,3,13,10
BV-YAO-0071,Bureau de Vote Oyomabang N°17,Yaoundé,Yaoundé VI,Oyomabang,Collège,3.817378,11.591265,+237 694 985 836,4,Non,650,309,12,297,0.476,184,9,31,21,18,34,650,443,21,422,0.682,296,7,35,26,20,38,650,223,7,216,0.344,129,36,4,13,8,26
BV-YAO-0072,Bureau de Vote Omnisports N°2,Yaoundé,Yaoundé IV,Omnisports,École primaire,3.861664,11.552381,+237 222 562 423,2,Non,726,300,12,288,0.414,188,11,26,18,15,30,726,491,12,479,0.677,343,24,33,25,13,41,726,459,19,440,0.634,301,24,25,12,36,42
BV-YAO-0073,Mairie de Biteng — Bureau 1,Yaoundé,Yaoundé V,Biteng,Mairie,3.938459,11.506881,+237 694 291 095,3,Non,982,372,6,366,0.379,194,6,30,32,52,52,982,427,8,419,0.435,319,22,27,9,12,30,982,395,11,384,0.403,257,3,30,17,39,38
BV-YAO-0074,Bureau de Vote Yaoundé IV — Obili 74,Yaoundé,Yaoundé IV,Obili,École primaire,3.862072,11.477233,+237 243 869 831,4,Non,535,355,7,348,0.665,197,47,17,3,38,46,535,282,3,279,0.527,172,3,35,30,7,32,535,289,7,282,0.54,144,38,44,8,7,41
BV-YAO-0075,Centre social Nlongkak,Yaoundé,Yaoundé III,Nlongkak,Centre social,3.878764,11.524897,+237 679 220 816,1,Oui,571,350,11,339,0.614,185,37,35,33,3,46,571,283,6,277,0.497,218,14,6,17,4,18,571,284,9,275,0.498,138,32,30,8,26,41
BV-YAO-0076,Bureau de Vote Yaoundé I — Madagascar 76,Yaoundé,Yaoundé I,Madagascar,Lycée,3.778233,11.425564,+237 690 798 787,3,Non,802,397,19,378,0.496,193,43,33,31,22,56,802,542,6,536,0.677,414,26,26,31,2,37,802,485,13,472,0.606,259,47,63,6,33,64
BV-YAO-0077,Collège Bastos,Yaoundé,Yaoundé II,Bastos,Collège,3.834472,11.468216,+237 678 219 856,1,Oui,1179,694,18,676,0.589,385,41,103,38,22,87,1179,794,38,756,0.674,579,33,23,33,34,54,1179,531,8,523,0.451,287,10,30,69,56,71
BV-YAO-0078,Bibliothèque municipale de Obili — Bureau 3,Yaoundé,Yaoundé VI,Obili,Bibliothèque municipale,3.828575,11.426473,+237 690 758 929,2,Non,302,215,4,211,0.715,136,3,15,21,13,23,302,129,4,125,0.429,92,10,1,4,8,10,302,184,5,179,0.61,140,5,9,4,9,12
BV-YAO-0079,Bureau de Vote Mvog-Beti N°10,Yaoundé,Yaoundé III,Mvog-Beti,Bibliothèque municipale,3.884888,11.459243,+237 694 370 746,1,Oui,434,215,3,212,0.496,166,2,11,6,13,14,434,169,5,164,0.39,102,9,10,15,9,19,434,192,9,183,0.442,88,16,23,7,20,29
BV-YAO-0080,Centre de Vote de Carrière — Salle 5,Yaoundé,Yaoundé VI,Carrière,Centre culturel,3.842035,11.424207,+237 678 833 781,3,Non,1100,452,18,434,0.411,268,12,46,38,20,50,1100,690,25,665,0.628,376,57,19,93,33,87,1100,395,6,389,0.359,260,13,35,16,26,39
BV-YAO-0081,Centre de Vote de Ngoa-Ekélé — Salle 4,Yaoundé,Yaoundé I,Ngoa-Ekélé,Salle polyvalente,3.805046,11.472433,+237 691 415 946,4,Non,449,257,7,250,0.573,194,6,7,13,13,17,449,269,12,257,0.599,191,5,8,13,20,20,449,283,9,274,0.632,151,26,29,16,15,37
BV-YAO-0082,École primaire Efoulan,Yaoundé,Yaoundé IV,Efoulan,École primaire,3.819069,11.400694,+237 242 589 840,3,Non,1096,436,6,430,0.399,207,30,51,14,61,67,1096,340,13,327,0.311,263,13,5,12,15,19,1096,328,9,319,0.3,198,31,14,16,24,36
BV-YAO-0083,Centre de Vote de Carrière — Salle 1,Yaoundé,Yaoundé V,Carrière,Collège,3.899484,11.504657,+237 233 385 260,4,Oui,688,283,6,277,0.412,195,23,6,20,8,25,688,265,2,263,0.386,168,22,8,22,14,29,688,258,10,248,0.375,180,16,13,6,13,20
BV-YAO-0084,Bureau de Vote Yaoundé II — Carrière 84,Yaoundé,Yaoundé II,Carrière,Salle polyvalente,3.831936,11.583042,+237 692 337 125,1,Non,447,188,8,180,0.422,106,22,10,13,7,22,447,272,12,260,0.61,163,17,27,21,3,29,447,253,9,244,0.566,128,16,17,22,26,35
BV-YAO-0085,Bureau de Vote Nkozoa N°8,Yaoundé,Yaoundé V,Nkozoa,Salle polyvalente,3.816774,11.583856,+237 233 778 692,1,Non,849,570,12,558,0.672,285,29,21,111,30,82,849,361,10,351,0.425,174,7,39,37,41,53,849,267,8,259,0.315,119,31,18,36,13,42
