id,nom,ville,arrondissement,quartier,type_batiment,latitude,longitude,telephone,nb_urnes,accessibilite_pmr,inscrits_2017,votants_2017,bulletins_nuls_2017,SVE_2017,taux_participation_2017,RDPC_votes_2017,CDP_votes_2017,EPG_votes_2017,SAJ_votes_2017,ESA_votes_2017,autres_votes_2017,inscrits_2018,votants_2018,bulletins_nuls_2018,SVE_2018,taux_participation_2018,RDPC_votes_2018,CDP_votes_2018,EPG_votes_2018,SAJ_votes_2018,ESA_votes_2018,autres_votes_2018,inscrits_2019,votants_2019,bulletins_nuls_2019,SVE_2019,taux_participation_2019,RDPC_votes_2019,CDP_votes_2019,EPG_votes_2019,SAJ_votes_2019,ESA_votes_2019,autres_votes_2019
BV-DOU-0017,Bureau de Vote Douala V — Bonaloka 17,Douala,Douala V,Bonaloka,Mairie,4.09221,9.788439,+237 693 043 334,4,Oui,683,387,15,372,0.567,210,5,41,6,61,49,683,219,5,214,0.322,159,6,16,10,6,17,683,228,10,218,0.335,105,16,16,16,31,34
BV-DOU-0018,Bureau de Vote Douala III — Bonaloka 18,Douala,Douala III,Bonaloka,Centre culturel,4.084917,9.790325,+237 693 454 924,1,Non,1083,663,19,644,0.612,376,78,8,20,81,81,1083,360,10,350,0.333,267,16,16,21,5,25,1083,591,29,562,0.547,444,37,11,21,13,36
BV-DOU-0019,Lycée PK17,Douala,Douala II,PK17,Lycée,4.0445,9.790084,+237 242 156 217,1,Non,1072,580,17,563,0.542,365,33,57,31,17,60,1072,578,24,554,0.54,258,72,25,77,33,89,1072,645,28,617,0.602,415,51,57,25,8,61
BV-DOU-0020,Collège de Bali — Bureau 7,Douala,Douala VI,Bali,Collège,4.073757,9.723712,+237 691 734 217,1,Non,175,122,2,120,0.701,79,6,9,7,7,12,175,68,1,67,0.392,55,2,1,1,4,4,175,73,1,72,0.419,41,8,5,6,2,10
BV-DOU-0021,Centre culturel de Bonapriso — Bureau 6,Douala,Douala II,Bonapriso,Centre culturel,4.039784,9.750354,+237 694 698 124,2,Non,228,84,2,82,0.371,64,6,1,1,4,6,228,152,6,146,0.667,105,3,11,11,4,12,228,145,6,139,0.636,108,4,9,5,3,10
BV-DOU-0022,Bureau de Vote Soboum N°1,Douala,Douala III,Soboum,École primaire,4.026957,9.747714,+237 693 293 722,2,Non,284,155,4,151,0.548,96,5,13,13,7,17,284,125,5,120,0.443,79,11,6,2,9,13,284,142,6,136,0.5,68,12,13,12,10,21
BV-DOU-0023,Centre social Mboppi,Douala,Douala I,Mboppi,Centre social,4.026089,9.674055,+237 694 575 541,3,Oui,946,627,7,620,0.664,360,31,30,59,62,78,946,576,20,556,0.609,294,50,36,53,44,79,946,476,7,469,0.503,276,27,28,75,5,58
BV-DOU-0024,Centre culturel de Ndogbong — Bureau 2,Douala,Douala II,Ndogbong,Centre culturel,4.060971,9.711043,+237 242 960 653,3,Non,872,437,10,427,0.502,315,28,7,7,36,34,872,519,15,504,0.596,368,46,9,12,28,41,872,316,4,312,0.363,205,19,3,28,25,32
BV-DOU-0025,Centre de Vote de Ndoghem — Salle 2,Douala,Douala III,Ndoghem,Mairie,4.035899,9.638627,+237 243 494 574,3,Non,308,173,2,171,0.564,88,2,30,21,5,25,308,206,2,204,0.67,116,10,36,12,4,26,308,168,7,161,0.548,102,4,13,2,22,18
BV-DOU-0026,Bureau de Vote Douala IV — Mboppi 26,Douala,Douala IV,Mboppi,École primaire,4.128683,9.684258,+237 242 768 763,3,Oui,688,399,19,380,0.58,184,52,8,17,60,59,688,286,5,281,0.417,187,18,9,17,21,29,688,366,4,362,0.533,201,28,12,31,42,48
BV-DOU-0027,Centre culturel Boko,Douala,Douala IV,Boko,Centre culturel,4.036066,9.626374,+237 242 193 092,4,Oui,236,86,2,84,0.364,53,8,3,3,7,10,236,117,5,112,0.499,83,7,5,2,6,9,236,149,4,145,0.634,83,16,5,2,20,19
BV-DOU-0028,Bureau de Vote Ndogbong N°1,Douala,Douala V,Ndogbong,Salle polyvalente,4.002765,9.653564,+237 243 415 690,4,Non,837,304,6,298,0.364,139,42,31,26,12,48,837,366,10,356,0.438,221,23,43,7,21,41,837,519,6,513,0.621,254,38,38,52,53,78
BV-DOU-0029,Bureau de Vote PK14 N°17,Douala,Douala II,PK14,Centre social,4.122926,9.674108,+237 694 207 997,3,Non,701,482,22,460,0.688,356,22,13,29,8,32,701,239,7,232,0.342,129,3,29,21,19,31,701,315,3,312,0.45,178,13,20,39,22,40
BV-DOU-0030,Salle polyvalente Boko,Douala,Douala V,Boko,Salle polyvalente,4.066821,9.71147,+237 243 564 977,3,Non,411,162,6,156,0.397,87,8,15,4,21,21,411,133,4,129,0.326,90,3,6,10,8,12,411,252,4,248,0.614,198,2,2,14,17,15
BV-DOU-0031,Bureau de Vote Ndog-Bong N°8,Douala,Douala VI,Ndog-Bong,Centre social,4.074373,9.745417,+237 695 359 236,3,Oui,535,202,9,193,0.379,111,17,20,2,18,25,535,222,5,217,0.415,148,8,12,13,15,21,535,326,13,313,0.61,174,41,8,17,31,42
BV-DOU-0032,Bureau de Vote Ndog-Bong N°15,Douala,Douala IV,Ndog-Bong,Centre communautaire,4.136022,9.733166,+237 678 725 335,4,Non,846,623,21,602,0.737,326,71,8,15,99,83,846,363,17,346,0.43,269,14,5,15,20,23,846,347,4,343,0.41,203,26,12,28,32,42
BV-DOU-0033,Bureau de Vote Douala V — Japoma 33,Douala,Douala V,Japoma,Collège,4.096318,9.716964,+237 695 308 265,3,Non,1027,753,9,744,0.734,505,23,35,69,40,72,1027,535,14,521,0.521,342,48,31,31,15,54,1027,625,21,604,0.609,433,32,34,36,18,51
BV-DOU-0034,Lycée Sodiko,Douala,Douala I,Sodiko,Lycée,4.097157,9.663085,+237 243 359 340,2,Non,806,506,24,482,0.629,224,24,116,21,19,78,806,293,9,284,0.364,176,35,24,5,11,33,806,442,21,421,0.549,239,36,20,30,41,55
BV-DOU-0035,Bureau de Vote Ndoghem N°4,Douala,Douala IV,Ndoghem,Salle polyvalente,4.12298,9.696832,+237 694 290 690,3,Non,303,220,9,211,0.726,100,17,19,30,11,34,303,117,2,115,0.388,73,7,10,2,10,13,303,76,2,74,0.252,56,4,3,4,1,6
BV-DOU-0036,Mairie Ndokoti,Douala,Douala V,Ndokoti,Mairie,4.130096,9.74458,+237 690 631 795,3,Non,447,239,6,233,0.537,148,4,19,25,11,26,447,283,11,272,0.634,177,22,2,21,21,29,447,279,5,274,0.626,168,8,23,11,32,32
BV-DOU-0037,Bureau de Vote Logpom N°17,Douala,Douala V,Logpom,École primaire,4.097654,9.682517,+237 677 285 443,1,Non,168,118,5,113,0.707,76,6,1,9,10,11,168,84,3,81,0.506,55,6,7,1,4,8,168,100,3,97,0.6,72,5,6,3,3,8
BV-DOU-0038,Lycée Bali,Douala,Douala II,Bali,Lycée,4.048946,9.639317,+237 690 431 134,2,Non,458,265,5,260,0.579,121,7,28,30,32,42,458,247,5,242,0.54,150,18,7,15,24,28,458,293,8,285,0.64,202,13,4,21,20,25
BV-DOU-0039,Bureau de Vote Douala I — Nzeng-Ayong 39,Douala,Douala I,Nzeng-Ayong,Mairie,4.069369,9.735306,+237 695 594 728,2,Non,1083,800,38,762,0.739,522,59,19,27,63,72,1083,428,14,414,0.396,196,55,41,25,31,66,1083,698,34,664,0.645,471,13,18,75,29,58
BV-DOU-0040,Bureau de Vote Ndog-Passi III N°16,Douala,Douala IV,Ndog-Passi III,Collège,4.082481,9.708678,+237 695 096 152,4,Non,367,179,6,173,0.489,115,9,13,5,13,18,367,251,2,249,0.686,183,19,13,2,12,20,367,162,5,157,0.444,99,10,11,4,15,18
BV-DOU-0041,Centre de Vote de Village — Salle 4,Douala,Douala VI,Village,Bibliothèque municipale,4.030402,9.796069,+237 690 460 362,2,Non,300,157,3,154,0.523,98,11,6,11,11,17,300,119,5,114,0.398,81,2,9,8,4,10,300,131,4,127,0.437,97,7,6,6,2,9
BV-DOU-0042,Bureau de Vote Bonapriso N°7,Douala,Douala I,Bonapriso,École primaire,4.052397,9.66452,+237 694 551 772,3,Non,221,102,3,99,0.466,67,3,10,5,4,10,221,118,1,117,0.537,56,4,22,13,3,19,221,82,1,81,0.372,58,5,1,6,4,7
BV-DOU-0043,Centre de Vote de PK14 — Salle 5,Douala,Douala I,PK14,Lycée,4.040072,9.635182,+237 695 516 737,1,Non,355,153,6,147,0.433,100,7,5,11,10,14,355,112,4,108,0.317,63,11,10,9,1,14,355,193,6,187,0.545,131,2,13,9,15,17
BV-DOU-0044,Bureau de Vote Douala VI — Boko 44,Douala,Douala VI,Boko,Mairie,3.966462,9.712971,+237 692 810 254,1,Oui,809,349,5,344,0.432,182,34,39,24,16,49,809,360,11,349,0.446,162,22,40,14,55,56,809,332,10,322,0.411,149,26,32,24,39,52
BV-DOU-0045,Mairie de Makepe — Bureau 8,Douala,Douala III,Makepe,Mairie,4.038014,9.721007,+237 233 102 408,1,Oui,1198,501,15,486,0.418,291,6,47,32,51,59,1198,724,8,716,0.605,402,40,57,63,60,94,1198,360,4,356,0.301,232,6,15,58,8,37
BV-DOU-0046,Bibliothèque municipale PK10,Douala,Douala III,PK10,Bibliothèque municipale,4.035119,9.710705,+237 694 135 164,4,Non,399,194,2,192,0.488,98,11,10,18,27,28,399,158,3,155,0.396,76,12,11,5,27,24,399,126,5,121,0.317,85,10,4,9,2,11
BV-DOU-0047,Bureau de Vote Douala VI — Ndokoti 47,Douala,Douala VI,Ndokoti,École primaire,4.070215,9.682103,+237 242 139 129,1,Oui,829,312,11,301,0.376,198,3,32,29,8,31,829,425,16,409,0.513,304,4,22,26,21,32,829,480,23,457,0.58,297,27,34,25,26,48
BV-DOU-0048,Centre de Vote de Bali — Salle 1,Douala,Douala III,Bali,Centre communautaire,4.048371,9.64139,+237 677 879 679,4,Non,743,320,12,308,0.431,244,16,9,8,12,19,743,382,11,371,0.515,213,18,16,53,23,48,743,332,4,328,0.448,168,8,44,12,48,48
BV-DOU-0049,Centre culturel de Nyalla Extension — Bureau 5,Douala,Douala IV,Nyalla Extension,Centre culturel,3.99175,9.733464,+237 695 779 265,3,Non,729,310,4,306,0.427,140,20,31,37,28,50,729,458,6,452,0.629,309,18,14,30,38,43,729,205,5,200,0.282,116,25,7,22,5,25
BV-DOU-0050,Bureau de Vote Makepe N°15,Douala,Douala II,Makepe,Bibliothèque municipale,4.041198,9.780814,+237 243 929 592,2,Non,573,379,16,363,0.662,216,33,28,37,5,44,573,373,7,366,0.653,233,29,25,15,24,40,573,328,10,318,0.573,220,16,33,3,16,30
BV-DOU-0051,Centre de Vote de Boko — Salle 3,Douala,Douala II,Boko,Salle polyvalente,4.009094,9.729468,+237 679 002 389,1,Oui,710,371,15,356,0.523,279,11,13,16,14,23,710,436,19,417,0.615,200,56,41,20,35,65,710,431,5,426,0.607,312,22,35,2,20,35
BV-DOU-0052,Mairie Nkongmondo,Douala,Douala IV,Nkongmondo,Mairie,4.044236,9.716949,+237 692 400 191,4,Oui,1064,616,26,590,0.58,364,16,58,9,75,68,1064,584,15,569,0.55,270,20,100,65,24,90,1064,482,10,472,0.454,276,51,11,61,14,59
BV-DOU-0053,Bureau de Vote Nyalla Extension N°7,Douala,Douala IV,Nyalla Extension,Collège,4.023461,9.768616,+237 679 581 545,3,Non,577,210,2,208,0.365,141,8,16,3,20,20,577,295,14,281,0.513,198,33,9,5,11,25,577,351,7,344,0.61,157,24,47,38,22,56
BV-DOU-0054,Bureau de Vote Douala V — Ndogpassi 54,Douala,Douala V,Ndogpassi,Centre communautaire,4.060402,9.662347,+237 233 640 608,3,Non,531,265,12,253,0.501,200,8,14,10,5,16,531,332,14,318,0.626,187,28,17,17,29,40,531,276,4,272,0.521,160,22,9,23,24,34
BV-DOU-0055,Centre de Vote de Bonaberi — Salle 2,Douala,Douala III,Bonaberi,Lycée,4.01737,9.632372,+237 695 897 300,4,Non,1099,556,17,539,0.507,358,45,6,14,62,54,1099,711,22,689,0.647,494,46,8,45,37,59,1099,400,8,392,0.364,274,43,14,6,19,36
BV-DOU-0056,Bureau de Vote Douala V — Ndogbong 56,Douala,Douala V,Ndogbong,Collège,4.097736,9.639185,+237 222 932 865,1,Non,839,530,6,524,0.632,261,48,36,64,36,79,839,255,8,247,0.304,124,24,9,10,43,37,839,234,4,230,0.279,137,8,8,40,9,28
BV-DOU-0057,Centre social de Youpwé — Bureau 3,Douala,Douala VI,Youpwé,Centre social,4.015418,9.678401,+237 677 945 595,3,Non,926,483,6,477,0.522,351,35,7,18,28,38,926,318,5,313,0.344,238,16,17,12,8,22,926,572,18,554,0.618,275,57,81,9,48,84
BV-DOU-0058,École primaire Ndokoti,Douala,Douala II,Ndokoti,École primaire,4.023965,9.731323,+237 243 736 961,2,Oui,453,326,5,321,0.72,161,42,7,31,32,48,453,245,6,239,0.543,154,13,12,13,21,26,453,285,13,272,0.631,193,3,28,6,18,24
BV-DOU-0059,Lycée de Sodiko — Bureau 7,Douala,Douala I,Sodiko,Lycée,3.989654,9.742225,+237 691 336 468,1,Non,727,344,7,337,0.474,243,13,33,10,10,28,727,374,18,356,0.516,270,7,26,19,8,26,727,245,9,236,0.337,181,9,11,6,12,17
BV-DOU-0060,École primaire de Logbessou — Bureau 7,Douala,Douala IV,Logbessou,École primaire,4.08386,9.748668,+237 222 575 178,3,Oui,1142,683,23,660,0.598,448,48,21,40,39,64,1142,675,16,659,0.591,410,67,19,65,23,75,1142,319,3,316,0.28,204,8,31,31,8,34
BV-DOU-0061,Bureau de Vote Douala V — New Bell 61,Douala,Douala V,New Bell,Centre culturel,4.049843,9.773863,+237 677 631 456,2,Non,170,83,1,82,0.49,40,15,7,6,1,13,170,109,5,104,0.647,59,11,2,8,10,14,170,53,1,52,0.316,38,4,3,2,1,4
BV-DOU-0062,Bureau de Vote Douala II — Cite SIC 62,Douala,Douala II,Cite SIC,Lycée,4.116257,9.769859,+237 693 485 524,3,Oui,444,203,8,195,0.459,119,16,7,15,15,23,444,263,2,261,0.594,183,5,20,9,20,24,444,251,12,239,0.565,113,30,18,4,36,38
BV-DOU-0063,Bureau de Vote Douala II — Bonapriso 63,Douala,Douala II,Bonapriso,Centre communautaire,3.989968,9.703065,+237 690 096 532,4,Non,866,567,23,544,0.656,378,24,46,7,39,50,866,403,15,388,0.466,289,23,32,7,7,30,866,360,14,346,0.417,239,20,25,7,23,32
BV-DOU-0064,Bureau de Vote Douala I — Nkongmondo 64,Douala,Douala I,Nkongmondo,École primaire,4.108872,9.651237,+237 692 581 077,2,Non,308,152,2,150,0.496,85,6,15,3,21,20,308,96,2,94,0.313,63,5,6,9,1,10,308,117,4,113,0.38,80,2,6,1,14,10
BV-DOU-0065,Bureau de Vote Bassa N°20,Douala,Douala VI,Bassa,Centre communautaire,3.99235,9.765671,+237 693 352 550,3,Non,627,399,17,382,0.637,300,13,25,3,16,25,627,355,13,342,0.566,163,16,39,31,39,54,627,310,15,295,0.494,192,21,18,23,10,31
BV-DOU-0066,Centre culturel de Ndog-Bea — Bureau 5,Douala,Douala III,Ndog-Bea,Centre culturel,4.102587,9.727458,+237 242 279 851,3,Oui,867,470,9,461,0.543,221,44,36,79,9,72,867,573,21,552,0.662,272,63,18,29,86,84,867,222,8,214,0.257,111,11,28,25,8,31
BV-DOU-0067,Centre de Vote de Nyalla Extension — Salle 3,Douala,Douala VI,Nyalla Extension,Lycée,4.07816,9.666418,+237 693 719 830,2,Oui,629,368,13,355,0.586,164,32,48,36,18,57,629,204,3,201,0.326,110,8,12,23,21,27,629,178,8,170,0.284,134,9,11,2,3,11
BV-DOU-0068,Centre culturel de Bonaberi — Bureau 4,Douala,Douala VI,Bonaberi,Centre culturel,4.03878,9.677467,+237 694 781 030,2,Oui,963,542,14,528,0.563,264,68,34,17,66,79,963,625,17,608,0.65,288,70,97,12,45,96,963,504,9,495,0.524,238,69,68,37,6,77
BV-DOU-0069,Bureau de Vote Koumassi N°16,Douala,Douala II,Koumassi,Lycée,4.058249,9.726913,+237 694 281 872,3,Non,503,281,4,277,0.559,202,2,13,23,14,23,503,293,9,284,0.583,144,19,27,18,34,42,503,256,4,252,0.509,193,17,10,13,1,18
BV-DOU-0070,École primaire de Japoma — Bureau 3,Douala,Douala IV,Japoma,École primaire,4.124085,9.7175,+237 695 101 489,1,Non,1130,566,19,547,0.501,354,51,52,5,27,58,1130,680,14,666,0.602,318,76,93,16,58,105,1130,467,11,456,0.414,266,43,13,61,16,57
BV-DOU-0071,Centre de Vote de Ndog-Bong — Salle 1,Douala,Douala II,Ndog-Bong,Centre communautaire,4.06203,9.689695,+237 242 292 562,4,Non,209,136,5,131,0.653,88,6,13,8,3,13,209,122,4,118,0.584,82,2,6,3,14,11,209,90,3,87,0.433,58,4,5,6,5,9
BV-DOU-0072,Centre de Vote de Soboum — Salle 2,Douala,Douala V,Soboum,Mairie,4.039806,9.740747,+237 695 001 412,1,Non,740,509,17,492,0.689,237,55,50,12,61,77,740,304,12,292,0.412,204,4,13,41,3,27,740,416,11,405,0.562,212,10,17,59,49,58
BV-DOU-0073,Salle polyvalente Ndogpassi,Douala,Douala II,Ndogpassi,Salle polyvalente,4.119707,9.68092,+237 222 322 536,2,Non,643,298,14,284,0.464,225,15,12,6,8,18,643,396,16,380,0.617,298,6,27,22,2,25,643,297,9,288,0.462,151,2,35,23,36,41
BV-DOU-0074,Bureau de Vote Ndog-Passi III N°5,Douala,Douala II,Ndog-Passi III,Centre social,4.133394,9.727916,+237 679 407 416,2,Non,774,573,14,559,0.741,282,49,41,60,44,83,774,508,22,486,0.657,261,41,19,45,52,68,774,217,9,208,0.281,119,7,31,20,4,27
BV-DOU-0075,Centre de Vote de Bepanda — Salle 1,Douala,Douala V,Bepanda,Collège,4.111797,9.677446,+237 222 744 263,2,Oui,303,215,7,208,0.713,154,7,12,2,17,16,303,138,6,132,0.456,75,4,28,5,3,17,303,113,2,111,0.374,65,7,1,12,12,14
BV-DOU-0076,Centre social de Bessengue — Bureau 8,Douala,Douala VI,Bessengue,Centre social,4.136206,9.725811,+237 233 846 664,4,Non,1065,442,17,425,0.415,325,23,15,25,7,30,1065,362,17,345,0.341,225,6,29,39,10,36,1065,339,14,325,0.319,182,14,25,28,33,43
BV-DOU-0077,Centre de Vote de PK10 — Salle 5,Douala,Douala VI,PK10,Bibliothèque municipale,4.102762,9.636547,+237 678 556 305,2,Oui,1149,539,19,520,0.469,338,17,27,49,34,55,1149,428,15,413,0.373,207,16,54,37,37,62,1149,530,10,520,0.462,290,46,40,15,60,69
BV-DOU-0078,École primaire de Bepanda — Bureau 7,Douala,Douala V,Bepanda,École primaire,4.081308,9.775105,+237 679 746 440,2,Non,692,319,5,314,0.461,158,33,11,37,28,47,692,293,7,286,0.424,164,29,17,34,5,37,692,207,5,202,0.301,116,17,10,22,11,26
BV-DOU-0079,Mairie de Bangue — Bureau 3,Douala,Douala III,Bangue,Mairie,4.054686,9.68378,+237 694 233 726,4,Non,739,390,18,372,0.528,268,15,26,14,18,31,739,502,5,497,0.68,333,33,39,14,28,50,739,469,17,452,0.635,348,23,3,20,26,32
BV-DOU-0080,Bureau de Vote New Bell N°15,Douala,Douala I,New Bell,Lycée,4.002305,9.64377,+237 242 263 804,4,Non,1029,505,22,483,0.491,379,26,9,13,24,32,1029,449,10,439,0.437,227,37,42,27,42,64,1029,335,13,322,0.326,166,26,29,14,40,47
BV-DOU-0081,Centre de Vote de Cité des Palmiers — Salle 1,Douala,Douala V,Cité des Palmiers,École primaire,4.060579,9.739152,+237 677 487 394,1,Non,633,297,14,283,0.47,152,30,37,13,11,40,633,374,9,365,0.592,200,29,34,23,29,50,633,405,17,388,0.64,284,27,13,14,19,31
BV-DOU-0082,Centre de Vote de Logbessou — Salle 2,Douala,Douala V,Logbessou,École primaire,4.089757,9.71989,+237 693 846 927,3,Non,764,488,22,466,0.64,303,9,45,41,19,49,764,353,9,344,0.462,242,49,4,13,5,31,764,192,4,188,0.252,105,10,4,34,10,25
BV-DOU-0083,Centre de Vote de Ndog-Passi III — Salle 1,Douala,Douala V,Ndog-Passi III,Collège,3.982505,9.686401,+237 233 210 232,3,Oui,1195,783,25,758,0.656,436,74,65,46,40,97,1195,506,13,493,0.424,276,42,36,31,42,66,1195,619,26,593,0.519,476,13,27,22,20,35
BV-DOU-0084,École primaire Ndoghem,Douala,Douala I,Ndoghem,École primaire,4.034607,9.63149,+237 695 376 522,2,Oui,330,119,3,116,0.364,83,3,6,4,10,10,330,153,3,150,0.465,107,2,11,6,11,13,330,178,8,170,0.542,80,22,4,12,25,27
BV-DOU-0085,Bureau de Vote Soboum N°10,Douala,Douala V,Soboum,Centre communautaire,4.129493,9.677513,+237 678 718 229,3,Non,500,199,7,192,0.4,136,2,19,1,17,17,500,298,3,295,0.597,205,13,21,2,27,27,500,139,1,138,0.279,86,10,4,16,6,16
BV-DOU-0086,Lycée Mboppi,Douala,Douala II,Mboppi,Lycée,3.989234,9.757821,+237 692 279 744,2,Non,496,319,13,306,0.644,180,38,14,7,29,38,496,306,14,292,0.618,204,22,23,7,9,27,496,148,4,144,0.299,94,10,16,6,3,15
BV-DOU-0087,Centre de Vote de PK14 — Salle 2,Douala,Douala II,PK14,Bibliothèque municipale,4.012239,9.641597,+237 677 375 178,1,Non,337,249,7,242,0.74,162,13,12,7,24,24,337,203,7,196,0.604,114,13,18,24,2,25,337,196,3,193,0.582,143,2,10,8,15,15
BV-DOU-0088,Bibliothèque municipale de Ndog-Bea — Bureau 3,Douala,Douala I,Ndog-Bea,Bibliothèque municipale,4.06413,9.735455,+237 694 949 050,1,Oui,773,349,13,336,0.452,192,55,30,11,5,43,773,408,7,401,0.528,305,33,5,15,14,29,773,205,6,199,0.266,113,20,10,5,25,26
BV-DOU-0089,Centre culturel de Bepanda — Bureau 3,Douala,Douala II,Bepanda,Centre culturel,4.097239,9.687151,+237 233 016 341,4,Non,385,257,10,247,0.669,194,4,18,8,7,16,385,242,8,234,0.629,122,28,36,9,5,34,385,98,2,96,0.256,49,13,6,7,7,14
BV-DOU-0090,Centre de Vote de Ndogpassi — Salle 3,Douala,Douala VI,Ndogpassi,Lycée,4.098318,9.70325,+237 690 406 907,1,Non,872,579,23,556,0.665,254,109,32,54,16,91,872,552,23,529,0.634,400,33,15,8,34,39,872,246,2,244,0.283,192,11,4,9,12,16
